StudentID,Gender,BirthYear,Major,GPA,CreditsCompleted,PartTime,Scholarship,Dropout
1,Female,2004,APSC,2.6413,81,Yes,No,1
2,Female,2005,HSCI,3.464,56,Yes,No,0
3,Female,2005,ARTS,2.6413,88,Yes,No,1
4,Male,2004,EDUC,2.6413,73,Yes,No,0
5,Male,1979,SCI,2.165,104,No,No,0
6,Female,1974,ENV,2.881615,79,No,No,0
7,Male,2006,ARTS,3.0743,73,Yes,Yes,0
8,Female,2002,HSCI,2.57635,73,Yes,No,1
9,Male,2003,SCI,2.96605,99,Yes,Yes,0
10,Male,2006,SCI,2.9877,84,Yes,No,1
11,Male,2006,FCAT,3.00935,119,Yes,No,0
12,Male,2006,ARTS,2.9444,13,Yes,Yes,0
13,Male,2005,EDUC,2.87945,71,Yes,No,1
14,Male,2003,HSCI,2.3815,0,Yes,Yes,0
15,Male,2006,BUS,3.22585,15,Yes,Yes,0
16,Male,2004,EDUC,2.74955,25,Yes,No,1
17,Male,2006,SCI,2.96605,48,Yes,No,0
18,Male,2006,ARTS,2.92275,41,Yes,No,0
19,Male,2004,ENV,2.96605,69,Yes,No,0
20,Male,2006,EDUC,3.031,102,Yes,No,0
21,Male,2003,APSC,2.6413,113,Yes,Yes,0
22,Male,2004,HSCI,2.74955,65,Yes,No,0
23,Male,2006,ARTS,3.0743,52,Yes,No,0
24,Male,2005,FCAT,2.70625,8,Yes,Yes,0
25,Male,2005,ARTS,2.7279,68,Yes,No,0
26,Male,2006,SCI,3.26915,39,Yes,Yes,0
27,Male,2003,SCI,2.48975,55,Yes,No,0
28,Male,2006,BUS,2.9877,4,Yes,No,0
29,Male,2004,APSC,2.92275,55,Yes,No,0
30,Female,2005,ARTS,2.74955,110,Yes,No,0
31,Female,2003,BUS,3.2475,71,Yes,No,0
32,Female,2004,ARTS,2.70625,4,Yes,No,0
33,Female,2006,APSC,3.09595,68,Yes,No,0
34,Male,2005,SCI,2.9877,51,No,No,0
35,Female,1990,ENV,2.8145,80,No,No,0
36,Female,1987,FCAT,2.8145,72,Yes,No,1
37,Female,1981,FCAT,2.881615,97,Yes,No,1
38,Male,1969,APSC,3.031,32,Yes,No,1
39,Male,1985,ENV,2.598,21,No,No,0
40,Male,2004,ENV,2.598,84,Yes,No,1
41,Male,2006,EDUC,2.7279,106,Yes,No,1
42,Male,2002,APSC,2.87945,14,Yes,No,0
43,Male,2002,ARTS,2.22995,64,Yes,No,0
44,Male,2004,EDUC,2.598,70,Yes,No,1
45,Male,1995,ENV,2.881615,22,No,No,1
46,Male,2000,ENV,3.3341,114,No,No,0
47,Male,2006,SCI,2.8145,119,Yes,No,0
48,Male,2002,ARTS,2.8578,110,Yes,Yes,0
49,Male,2003,SCI,2.8145,5,No,Yes,0
50,Male,2005,SCI,3.00935,83,Yes,Yes,0
51,Male,2000,HSCI,2.8145,57,Yes,Yes,0
52,Male,2005,ARTS,3.00935,25,Yes,Yes,0
53,Male,2004,EDUC,2.74955,105,Yes,Yes,0
54,Male,2005,ENV,3.61555,11,Yes,No,0
55,Male,1997,ENV,2.8145,76,No,No,1
56,Male,2006,ARTS,2.8145,110,Yes,No,0
57,Male,1985,HSCI,2.8145,114,Yes,No,1
58,Male,1997,ENV,2.79285,112,Yes,No,1
59,Male,2006,ARTS,3.05265,76,Yes,No,0
60,Male,2006,APSC,2.70625,1,Yes,No,0
61,Male,2006,ARTS,2.70625,31,Yes,No,0
62,Male,2003,SCI,2.8145,49,Yes,Yes,0
63,Female,2005,APSC,2.87945,94,Yes,Yes,0
64,Female,2005,ARTS,2.74955,60,Yes,No,0
65,Female,2000,ARTS,2.5114,10,Yes,No,0
66,Female,1995,ARTS,2.881615,100,Yes,No,1
67,Female,2005,APSC,3.00935,67,Yes,Yes,0
68,Female,2001,BUS,2.8145,33,Yes,No,0
69,Female,2005,APSC,2.70625,79,Yes,No,1
70,Female,1998,HSCI,3.464,94,Yes,No,0
71,Female,2006,APSC,3.2042,88,Yes,No,0
72,Female,2000,ARTS,3.2475,102,Yes,No,0
73,Female,2005,APSC,3.05265,7,Yes,No,1
74,Female,2006,HSCI,2.5547,7,Yes,No,1
75,Female,2006,EDUC,3.0743,97,Yes,No,0
76,Female,2006,APSC,2.598,14,Yes,No,1
77,Female,2003,HSCI,2.2949,4,Yes,Yes,1
78,Female,2005,EDUC,2.61965,18,Yes,Yes,0
79,Female,2002,ARTS,3.2475,73,Yes,Yes,0
80,Female,1991,SCI,2.598,8,No,No,0
81,Female,2004,EDUC,2.4681,56,Yes,No,1
82,Female,1989,ENV,3.031,53,No,No,1
83,Female,2000,BUS,3.464,28,Yes,No,1
84,Female,2006,HSCI,2.598,115,Yes,No,0
85,Male,1991,SCI,2.8145,103,No,No,0
86,Male,2002,ARTS,3.464,100,Yes,Yes,0
87,Male,1999,FCAT,2.598,18,Yes,Yes,0
88,Female,2004,ARTS,2.6846,76,Yes,No,0
89,Female,2001,APSC,3.09595,45,Yes,No,0
90,Female,2006,FCAT,2.48975,103,Yes,No,0
91,Female,2000,ARTS,2.881615,79,Yes,No,1
92,Male,2003,EDUC,2.881615,61,Yes,No,0
